,value,percentage,datetime,tipo_energia,comunidad,id_comunidad
145,561.254,1.0,2011-05-26T00:00:00.000+02:00,No renovable,Ceuta,8744
146,561.363,1.0,2011-05-27T00:00:00.000+02:00,No renovable,Ceuta,8744
147,528.941,1.0,2011-05-28T00:00:00.000+02:00,No renovable,Ceuta,8744
148,487.866,1.0,2011-05-29T00:00:00.000+02:00,No renovable,Ceuta,8744
149,581.166,1.0,2011-05-30T00:00:00.000+02:00,No renovable,Ceuta,8744
150,587.917,1.0,2011-05-31T00:00:00.000+02:00,No renovable,Ceuta,8744
151,592.236,1.0,2011-06-01T00:00:00.000+02:00,No renovable,Ceuta,8744
152,589.153,1.0,2011-06-02T00:00:00.000+02:00,No renovable,Ceuta,8744
153,573.498,1.0,2011-06-03T00:00:00.000+02:00,No renovable,Ceuta,8744
154,522.298,1.0,2011-06-04T00:00:00.000+02:00,No renovable,Ceuta,8744
155,495.967,1.0,2011-06-05T00:00:00.000+02:00,No renovable,Ceuta,8744
156,580.687,1.0,2011-06-06T00:00:00.000+02:00,No renovable,Ceuta,8744
157,577.802,1.0,2011-06-07T00:00:00.000+02:00,No renovable,Ceuta,8744
158,563.74,1.0,2011-06-08T00:00:00.000+02:00,No renovable,Ceuta,8744
159,569.966,1.0,2011-06-09T00:00:00.000+02:00,No renovable,Ceuta,8744
160,565.76,1.0,2011-06-10T00:00:00.000+02:00,No renovable,Ceuta,8744
161,522.626,1.0,2011-06-11T00:00:00.000+02:00,No renovable,Ceuta,8744
162,479.198,1.0,2011-06-12T00:00:00.000+02:00,No renovable,Ceuta,8744
163,494.332,1.0,2011-06-13T00:00:00.000+02:00,No renovable,Ceuta,8744
164,585.32,1.0,2011-06-14T00:00:00.000+02:00,No renovable,Ceuta,8744
165,610.196,1.0,2011-06-15T00:00:00.000+02:00,No renovable,Ceuta,8744
166,616.784,1.0,2011-06-16T00:00:00.000+02:00,No renovable,Ceuta,8744
167,619.286,1.0,2011-06-17T00:00:00.000+02:00,No renovable,Ceuta,8744
168,552.566,1.0,2011-06-18T00:00:00.000+02:00,No renovable,Ceuta,8744
169,501.245,1.0,2011-06-19T00:00:00.000+02:00,No renovable,Ceuta,8744
170,615.966,1.0,2011-06-20T00:00:00.000+02:00,No renovable,Ceuta,8744
